fund_name,isin,currency,category,dividend,ann_cost,rating_class,risk_class,sustainablity_class,3y_ann_perf,5y_ann_perf,AUM_DKK,sharpe_ratio,provider,asset_class,geography
BankInvest Bæredygtige Klimaaktier A,DK0062265153,DKK,"Sektor - Miljø & Klima, Aktier",Distributing,1.73,,4,Article 9,,,56.0,,BankInvest,Stocks,Global
BankInvest Bæredygtige Klimaaktier Akk A,DK0062265310,DKK,"Sektor - Miljø & Klima, Aktier",Accumulating,1.73,,4,Article 9,,,35.0,,BankInvest,Stocks,Global
BankInvest Bæredygtige Klimaobl A,DK0062265666,DKK,Obligationer - EUR Virksomheder,Distributing,0.98,,2,Article 9,,,829.0,,BankInvest,Bonds,Europe
BankInvest Bæredygtige Klimaobl Akk. A,DK0062265823,DKK,Obligationer - EUR Virksomheder,Accumulating,0.98,,2,Article 9,,,475.0,,BankInvest,Bonds,Europe
BankInvest Børsnot Alt Akk. A,DK0061925484,DKK,Alternative - Øvrige,Accumulating,2.09,,4,Article 8,,,959.0,,BankInvest,Alt.,Other
BankInvest Danske Aktier A,DK0016060346,DKK,Aktier - Danmark,Distributing,1.56,3.0,4,Article 8,-16.62,32.16,6700.0,0.5,BankInvest,Stocks,Denmark
BankInvest Danske Aktier Akk. A,DK0060622967,DKK,Aktier - Danmark,Accumulating,1.54,4.0,4,Article 8,1.57,77.61,4880.0,0.58,BankInvest,Stocks,Denmark
BankInvest EM Korte Obl A,DK0061540937,DKK,Obligationer - Øvrige,Distributing,0.98,,2,Article 8,4.05,,1171.0,-0.33,BankInvest,Bonds,Other
BankInvest EM Korte Obligationer Akk. A,DK0062500682,DKK,Obligationer - Øvrige,Accumulating,0.96,,2,Article 8,,,688.0,,BankInvest,Bonds,Other
BankInvest EM Obl Lokalvaluta A,DK0060012037,DKK,Obligationer - Nye Markeder Lokalvaluta,Distributing,1.22,3.0,3,Article 8,6.67,-9.87,1670.0,-0.19,BankInvest,Bonds,EmergingMarkets
BankInvest EM Obligationer A,DK0016112832,DKK,Obligationer - Nye Markeder EUR Fokus,Distributing,1.19,4.0,3,Article 8,-5.76,-9.96,3473.0,-0.15,BankInvest,Bonds,EmergingMarkets
BankInvest EM Obligationer Akk. A,DK0060019552,DKK,Obligationer - Nye Markeder EUR Fokus,Accumulating,1.22,4.0,3,Article 8,-6.35,-1.27,909.0,-0.16,BankInvest,Bonds,EmergingMarkets
BankInvest Emerging Markets Aktier A,DK0060516854,DKK,Aktier - Globale Nye Markeder,Distributing,1.71,2.0,4,Article 8,-10.7,1.25,1808.0,0.01,BankInvest,Stocks,EmergingMarkets
BankInvest Emerging Markets Aktier Akk A,DK0062502621,DKK,Aktier - Globale Nye Markeder,Accumulating,1.77,,4,Article 8,,,406.0,,BankInvest,Stocks,EmergingMarkets
BankInvest GloAkColum Threadneedle Akk A,DK0061410057,DKK,Aktier - Globale Large Cap Growth,Accumulating,1.7,4.0,4,Article 8,18.92,,3485.0,0.23,BankInvest,Stocks,Global
BankInvest Glob Akt Ansvarlig Udv Akk A,DK0061271699,DKK,Aktier - Globale Large Cap Blend,Accumulating,1.66,3.0,4,Article 8,20.67,,4372.0,0.32,BankInvest,Stocks,Global
BankInvest Glob Obl Ansvarlig Udv A,DK0061295870,DKK,Obligationer - Globale Fleksibel EUR Valutasikret,Distributing,0.79,2.0,2,Article 8,-4.95,,1322.0,-0.65,BankInvest,Bonds,Global
BankInvest Glob Obl Ansvarlig Udv Akk A,DK0061296175,DKK,Obligationer - Globale Fleksibel EUR Valutasikret,Distributing,0.87,2.0,2,Article 8,-4.9,,1086.0,-0.67,BankInvest,Bonds,Global
BankInvest GlobAkColumbia Threadneedle A,DK0061409711,DKK,Aktier - Globale Large Cap Growth,Distributing,1.7,4.0,4,Article 8,13.49,,4591.0,0.23,BankInvest,Stocks,Global
BankInvest Globale Akt Ansvarlig Udvik A,DK0061271426,DKK,Aktier - Globale Large Cap Blend,Distributing,1.67,3.0,4,Article 8,2.8,,7528.0,0.31,BankInvest,Stocks,Global
BankInvest Højt Udbytte Aktier A,DK0060293538,DKK,Aktier - Globale Højt Udbytte,Distributing,1.66,4.0,4,Article 8,-13.52,1.73,7370.0,0.51,BankInvest,Stocks,Global
