Date;Open;Close/Last;High;Low;Volume
11/21/2024;$535.63;$397.28;$543.00;$371.8401;100.444.000,00 €
11/20/2024;$463.40;$473.83;$504.83;$457.3024;70.212.630,00 €
11/19/2024;$389.50;$430.54;$449.00;$381.00;50.954.500,00 €
11/18/2024;$345.415;$384.79;$388.4899;$339.375;32.745.920,00 €
11/15/2024;$336.60;$340.65;$349.94;$324.10;25.841.970,00 €
11/14/2024;$341.77;$327.67;$348.00;$318.62;26.605.690,00 €
11/13/2024;$366.98;$328.38;$383.40;$321.70;46.238.500,00 €
11/12/2024;$334.77;$356.59;$360.89;$325.50;39.705.750,00 €
11/11/2024;$297.00;$340.00;$351.73;$293.30;47.315.730,00 €
11/08/2024;$275.575;$270.42;$279.3799;$262.60;18.764.220,00 €
11/07/2024;$256.80;$270.81;$280.8007;$252.70;23.931.690,00 €
11/06/2024;$260.00;$257.81;$261.20;$242.69;26.270.430,00 €
11/05/2024;$233.34;$227.80;$243.4563;$225.43;17.993.880,00 €
11/04/2024;$226.97;$222.99;$231.68;$220.82;13.438.760,00 €
11/01/2024;$245.33;$229.71;$255.75;$225.93;26.258.860,00 €
10/31/2024;$251.12;$244.50;$252.88;$237.00;21.954.120,00 €
10/30/2024;$246.50;$247.31;$255.80;$239.00;20.593.320,00 €
10/29/2024;$264.25;$258.24;$267.89;$251.24;25.958.550,00 €
10/28/2024;$244.64;$255.34;$259.50;$242.77;23.181.970,00 €
10/25/2024;$236.385;$234.34;$245.5657;$227.75;25.093.210,00 €
10/24/2024;$220.09;$235.89;$236.29;$218.25;23.221.550,00 €
10/23/2024;$215.08;$213.95;$222.85;$204.91;17.025.500,00 €
10/22/2024;$216.21;$219.70;$221.40;$212.084;13.758.060,00 €
10/21/2024;$214.49;$219.05;$223.15;$208.45;18.028.630,00 €
10/18/2024;$197.59;$215.86;$218.65;$197.10;22.814.820,00 €
10/17/2024;$192.80;$193.42;$198.88;$185.81;11.414.280,00 €
10/16/2024;$199.90;$194.09;$200.615;$191.96;12.434.580,00 €
10/15/2024;$206.73;$194.31;$211.1599;$189.70;23.114.600,00 €
10/14/2024;$224.48;$201.67;$227.15;$201.43;31.736.610,00 €
10/11/2024;$188.50;$212.59;$212.81;$187.41;29.933.780,00 €
10/10/2024;$191.89;$183.34;$192.20;$178.00;15.937.520,00 €
10/09/2024;$189.77;$188.91;$198.3899;$185.25;13.445.320,00 €
10/08/2024;$186.10;$192.20;$198.49;$184.45;20.984.760,00 €
10/07/2024;$179.71;$186.09;$191.99;$178.80;19.825.950,00 €
10/04/2024;$166.72;$176.51;$176.55;$163.9651;14.069.710,00 €
10/03/2024;$163.39;$163.41;$165.86;$157.82;8.814.224,00 €
10/02/2024;$160.51;$164.64;$173.88;$159.16;12.557.460,00 €
10/01/2024;$168.52;$162.69;$169.4299;$157.02;14.103.320,00 €
09/30/2024;$168.63;$168.60;$175.5064;$167.314;13.443.440,00 €
09/27/2024;$170.48;$176.22;$179.60;$168.305;17.321.180,00 €
09/26/2024;$157.63;$165.98;$167.51;$156.3806;17.068.470,00 €
09/25/2024;$152.30;$151.94;$157.88;$151.50;7.839.376,00 €
09/24/2024;$150.16;$153.88;$154.33;$146.7074;9.365.235,00 €
09/23/2024;$147.48;$149.97;$151.59;$145.0149;10.090.260,00 €
09/20/2024;$144.39;$144.78;$148.03;$141.64;12.332.320,00 €
09/19/2024;$140.45;$144.66;$148.96;$139.62;20.177.340,00 €
09/18/2024;$130.44;$132.67;$139.49;$128.51;16.345.620,00 €
09/17/2024;$138.37;$131.27;$140.16;$128.8209;21.043.390,00 €
09/16/2024;$137.02;$134.53;$137.88;$132.67;8.765.884,00 €
