LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/8/2024;"29";"24";"34";"21";"63";"21";"0";"0";"0";"1010";"0";"0";""
Milano;2/8/2024;"28";"23";"34";"20";"61";"19";"0";"0";"0";"1009";"0";"0";""
Milano;3/8/2024;"28";"22";"33";"21";"67";"18";"0";"0";"0";"1008";"0";"0";"pioggia temporale "
Milano;4/8/2024;"28";"24";"32";"19";"60";"20";"0";"0";"0";"1011";"0";"0";""
Milano;5/8/2024;"28";"24";"33";"19";"57";"20";"0";"0";"0";"1011";"0";"0";""
Milano;6/8/2024;"28";"23";"33";"20";"63";"22";"0";"0";"0";"1011";"0";"0";""
Milano;7/8/2024;"26";"19";"33";"21";"75";"19";"1";"37";"0";"1012";"0";"0";"pioggia temporale "
Milano;8/8/2024;"25";"19";"31";"20";"76";"19";"0";"0";"0";"1013";"0";"0";""
Milano;9/8/2024;"28";"22";"33";"21";"69";"21";"0";"0";"0";"1015";"0";"0";""
Milano;10/8/2024;"29";"24";"34";"22";"68";"19";"0";"0";"0";"1018";"0";"0";""
Milano;11/8/2024;"29";"24";"34";"23";"71";"20";"0";"0";"0";"1018";"0";"0";""
Milano;12/8/2024;"30";"24";"36";"22";"67";"22";"0";"0";"0";"1013";"0";"0";""
Milano;13/8/2024;"30";"24";"35";"22";"65";"19";"0";"0";"0";"1010";"0";"0";""
Milano;14/8/2024;"28";"23";"33";"20";"66";"20";"0";"0";"0";"1011";"0";"0";""
Milano;15/8/2024;"24";"20";"30";"20";"76";"20";"0";"0";"0";"1016";"0";"0";""
Milano;16/8/2024;"26";"20";"31";"21";"75";"19";"0";"0";"0";"1016";"0";"0";""
Milano;17/8/2024;"27";"21";"32";"19";"66";"21";"0";"0";"0";"1012";"0";"0";""
Milano;18/8/2024;"24";"21";"28";"20";"79";"20";"0";"0";"0";"1008";"0";"0";"pioggia temporale "
Milano;19/8/2024;"23";"20";"27";"20";"81";"20";"0";"0";"0";"1009";"0";"0";""
Milano;20/8/2024;"25";"20";"31";"20";"72";"20";"0";"0";"0";"1011";"0";"0";""
Milano;21/8/2024;"27";"21";"33";"20";"69";"19";"0";"0";"0";"1011";"0";"0";""
Milano;22/8/2024;"27";"24";"31";"20";"66";"20";"0";"0";"0";"1013";"0";"0";""
Milano;23/8/2024;"27";"23";"33";"20";"68";"19";"0";"0";"0";"1014";"0";"0";""
Milano;24/8/2024;"27";"20";"33";"19";"65";"21";"0";"0";"0";"1016";"0";"0";""
Milano;25/8/2024;"27";"21";"32";"19";"65";"20";"0";"0";"0";"1014";"0";"0";""
Milano;26/8/2024;"26";"23";"32";"18";"62";"21";"0";"0";"0";"1014";"0";"0";""
Milano;27/8/2024;"26";"20";"32";"18";"64";"19";"1";"30";"0";"1016";"0";"0";"pioggia temporale "
Milano;28/8/2024;"26";"20";"32";"19";"67";"21";"0";"0";"0";"1018";"0";"0";""
Milano;29/8/2024;"26";"20";"33";"19";"68";"18";"0";"0";"0";"1017";"0";"0";""
Milano;30/8/2024;"27";"20";"34";"19";"66";"20";"0";"0";"0";"1017";"0";"0";""
Milano;31/8/2024;"27";"21";"34";"20";"66";"20";"0";"0";"0";"1017";"0";"0";""
