LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/4/2024;"14";"9";"19";"10";"77";"19";"17";"33";"0";"1002";"0";"0";"pioggia temporale "
Milano;2/4/2024;"13";"6";"20";"6";"69";"19";"7";"15";"0";"1012";"0";"0";"nebbia "
Milano;3/4/2024;"12";"11";"14";"8";"78";"20";"7";"15";"0";"1015";"0";"0";"pioggia "
Milano;4/4/2024;"14";"8";"19";"9";"76";"20";"6";"13";"0";"1019";"0";"0";""
Milano;5/4/2024;"16";"10";"21";"11";"72";"20";"8";"13";"0";"1022";"0";"0";""
Milano;6/4/2024;"17";"11";"23";"10";"68";"20";"5";"11";"0";"1023";"0";"0";""
Milano;7/4/2024;"18";"11";"24";"11";"67";"21";"5";"11";"0";"1020";"0";"0";""
Milano;8/4/2024;"19";"12";"25";"14";"72";"19";"5";"11";"0";"1017";"0";"0";"nebbia "
Milano;9/4/2024;"16";"14";"19";"13";"83";"12";"7";"13";"0";"1015";"0";"0";"pioggia temporale "
Milano;10/4/2024;"11";"10";"14";"9";"89";"17";"10";"24";"0";"1018";"0";"0";"pioggia "
Milano;11/4/2024;"16";"11";"22";"11";"75";"20";"6";"13";"0";"1027";"0";"0";""
Milano;12/4/2024;"18";"11";"25";"13";"73";"20";"5";"11";"0";"1028";"0";"0";"nebbia "
Milano;13/4/2024;"20";"13";"27";"14";"71";"21";"4";"9";"0";"1026";"0";"0";""
Milano;14/4/2024;"21";"13";"29";"14";"66";"19";"5";"11";"0";"1022";"0";"0";"nebbia "
Milano;15/4/2024;"19";"15";"23";"11";"57";"20";"9";"17";"0";"1012";"0";"0";""
Milano;16/4/2024;"18";"12";"23";"11";"45";"21";"21";"42";"0";"1001";"0";"0";""
Milano;17/4/2024;"13";"7";"19";"5";"59";"21";"12";"30";"0";"1005";"0";"0";""
Milano;18/4/2024;"11";"7";"15";"4";"62";"20";"9";"24";"0";"1009";"0";"0";"pioggia temporale "
Milano;19/4/2024;"12";"4";"19";"3";"53";"20";"7";"15";"0";"1014";"0";"0";""
Milano;20/4/2024;"14";"8";"19";"4";"37";"21";"17";"31";"0";"1009";"0";"0";""
Milano;21/4/2024;"11";"3";"16";"3";"55";"19";"9";"30";"0";"1013";"0";"0";"pioggia "
Milano;22/4/2024;"6";"5";"8";"5";"90";"14";"6";"13";"0";"1013";"0";"0";"pioggia "
Milano;23/4/2024;"7";"5";"12";"6";"90";"19";"6";"18";"0";"1009";"0";"0";"pioggia "
Milano;24/4/2024;"11";"5";"17";"5";"73";"20";"8";"26";"0";"1006";"0";"0";"pioggia temporale nebbia "
Milano;25/4/2024;"11";"6";"15";"5";"72";"19";"10";"17";"0";"1008";"0";"0";"nebbia "
Milano;26/4/2024;"11";"9";"16";"7";"76";"20";"11";"21";"0";"1011";"0";"0";"pioggia "
Milano;27/4/2024;"13";"10";"16";"10";"86";"18";"6";"11";"0";"1016";"0";"0";"pioggia "
Milano;28/4/2024;"14";"12";"18";"11";"82";"18";"9";"15";"0";"1019";"0";"0";"pioggia "
Milano;29/4/2024;"16";"9";"23";"11";"73";"21";"4";"9";"0";"1021";"0";"0";""
Milano;30/4/2024;"19";"11";"25";"11";"66";"19";"6";"15";"0";"1017";"0";"0";""
