LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/12/2024;"3";"0";"7";"3";"99";"4";"0";"0";"0";"1027";"0";"0";"nebbia "
Milano;2/12/2024;"4";"-2";"10";"4";"90";"10";"0";"0";"0";"1021";"0";"0";"nebbia "
Milano;3/12/2024;"6";"1";"10";"3";"85";"16";"0";"0";"0";"1016";"0";"0";"nebbia "
Milano;4/12/2024;"5";"0";"12";"2";"84";"16";"0";"0";"0";"1020";"0";"0";""
Milano;5/12/2024;"4";"-1";"9";"2";"86";"20";"0";"0";"0";"1024";"0";"0";""
Milano;6/12/2024;"3";"1";"8";"2";"89";"10";"0";"0";"0";"1017";"0";"0";""
Milano;7/12/2024;"2";"-2";"4";"2";"96";"3";"0";"0";"0";"1012";"0";"0";"pioggia nebbia "
Milano;8/12/2024;"4";"4";"5";"4";"94";"4";"0";"0";"0";"1001";"0";"0";"pioggia "
Milano;9/12/2024;"6";"4";"9";"4";"88";"16";"0";"0";"0";"1010";"0";"0";""
Milano;10/12/2024;"7";"4";"9";"5";"88";"17";"0";"0";"0";"1018";"0";"0";"pioggia "
Milano;11/12/2024;"6";"2";"11";"3";"85";"17";"0";"0";"0";"1023";"0";"0";"nebbia "
Milano;12/12/2024;"4";"3";"7";"3";"94";"2";"0";"0";"0";"1029";"0";"0";"nebbia "
Milano;13/12/2024;"4";"2";"6";"3";"96";"3";"0";"0";"0";"1029";"0";"0";"pioggia nebbia "
Milano;14/12/2024;"5";"2";"8";"3";"92";"4";"0";"0";"0";"1022";"0";"0";"pioggia nebbia "
Milano;15/12/2024;"1";"0";"2";"1";"98";"1";"0";"0";"0";"1025";"0";"0";"nebbia "
Milano;16/12/2024;"4";"0";"12";"2";"88";"12";"0";"0";"0";"1033";"0";"0";"nebbia "
Milano;17/12/2024;"5";"0";"13";"4";"89";"8";"0";"0";"0";"1030";"0";"0";"nebbia "
Milano;18/12/2024;"5";"3";"10";"4";"94";"8";"0";"0";"0";"1027";"0";"0";"nebbia "
Milano;19/12/2024;"5";"4";"6";"5";"99";"2";"0";"0";"0";"1014";"0";"0";"pioggia nebbia "
Milano;20/12/2024;"9";"2";"13";"5";"39";"18";"3";"31";"0";"1010";"0";"0";""
Milano;21/12/2024;"3";"0";"10";"0";"64";"20";"0";"0";"0";"1022";"0";"0";""
Milano;22/12/2024;"2";"-1";"5";"1";"85";"15";"0";"0";"0";"1010";"0";"0";"pioggia "
Milano;23/12/2024;"8";"2";"11";"0";"36";"19";"2";"24";"0";"1005";"0";"0";""
Milano;24/12/2024;"9";"1";"13";"0";"28";"20";"0";"0";"0";"1017";"0";"0";""
Milano;25/12/2024;"2";"-3";"10";"0";"68";"20";"0";"0";"0";"1029";"0";"0";""
Milano;26/12/2024;"1";"-3";"10";"0";"75";"20";"0";"0";"0";"1032";"0";"0";""
Milano;27/12/2024;"2";"-4";"9";"0";"77";"20";"0";"0";"0";"1033";"0";"0";""
Milano;28/12/2024;"3";"-2";"11";"0";"74";"20";"0";"0";"0";"1028";"0";"0";""
Milano;29/12/2024;"3";"-2";"12";"1";"82";"17";"0";"0";"0";"1027";"0";"0";"nebbia "
Milano;30/12/2024;"3";"-2";"12";"1";"82";"18";"0";"0";"0";"1029";"0";"0";"nebbia "
Milano;31/12/2024;"3";"-3";"11";"1";"83";"18";"0";"0";"0";"1031";"0";"0";"nebbia "
