LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/2/2024;"3";"-1";"10";"3";"88";"8";"4";"9";"0";"1028";"0";"0";"nebbia "
Milano;2/2/2024;"6";"-2";"14";"3";"79";"8";"5";"11";"0";"1028";"0";"0";"nebbia "
Milano;3/2/2024;"9";"1";"17";"4";"75";"13";"7";"17";"0";"1026";"0";"0";"nebbia "
Milano;4/2/2024;"8";"2";"14";"6";"86";"15";"4";"11";"0";"1023";"0";"0";"nebbia "
Milano;5/2/2024;"10";"4";"15";"6";"79";"21";"7";"13";"0";"1023";"0";"0";"nebbia "
Milano;6/2/2024;"8";"3";"13";"6";"85";"4";"4";"9";"0";"1022";"0";"0";"nebbia "
Milano;7/2/2024;"11";"9";"15";"7";"79";"11";"6";"13";"0";"1014";"0";"0";""
Milano;8/2/2024;"11";"7";"14";"7";"78";"18";"4";"11";"0";"1009";"0";"0";"pioggia "
Milano;9/2/2024;"10";"9";"11";"9";"93";"3";"16";"22";"0";"1001";"0";"0";"pioggia "
Milano;10/2/2024;"10";"9";"11";"8";"92";"15";"13";"21";"0";"993";"0";"0";"pioggia "
Milano;11/2/2024;"10";"7";"11";"9";"94";"14";"6";"15";"0";"993";"0";"0";"pioggia nebbia "
Milano;12/2/2024;"8";"4";"12";"7";"95";"9";"4";"8";"0";"1004";"0";"0";"nebbia "
Milano;13/2/2024;"8";"4";"15";"5";"82";"15";"5";"11";"0";"1017";"0";"0";"nebbia "
Milano;14/2/2024;"9";"3";"15";"4";"72";"20";"3";"8";"0";"1024";"0";"0";""
Milano;15/2/2024;"8";"3";"13";"5";"82";"15";"3";"8";"0";"1023";"0";"0";"nebbia "
Milano;16/2/2024;"10";"6";"15";"6";"82";"5";"3";"11";"0";"1021";"0";"0";"nebbia "
Milano;17/2/2024;"10";"4";"16";"6";"80";"6";"3";"5";"0";"1026";"0";"0";"nebbia "
Milano;18/2/2024;"10";"4";"15";"7";"81";"3";"4";"8";"0";"1030";"0";"0";"nebbia "
Milano;19/2/2024;"10";"5";"16";"7";"82";"3";"5";"11";"0";"1024";"0";"0";"nebbia "
Milano;20/2/2024;"11";"6";"16";"7";"79";"4";"5";"11";"0";"1024";"0";"0";""
Milano;21/2/2024;"9";"5";"15";"5";"76";"10";"4";"8";"0";"1023";"0";"0";""
Milano;22/2/2024;"9";"9";"10";"7";"86";"4";"9";"22";"0";"1011";"0";"0";"pioggia "
Milano;23/2/2024;"9";"6";"11";"7";"90";"15";"9";"33";"0";"997";"0";"0";"pioggia "
Milano;24/2/2024;"8";"5";"12";"6";"87";"16";"9";"21";"0";"1006";"0";"0";"pioggia nebbia "
Milano;25/2/2024;"9";"6";"12";"5";"76";"20";"5";"9";"0";"1009";"0";"0";"pioggia "
Milano;26/2/2024;"7";"6";"8";"5";"89";"15";"14";"21";"0";"1006";"0";"0";"pioggia "
Milano;27/2/2024;"8";"6";"9";"7";"93";"11";"9";"22";"0";"1007";"0";"0";"pioggia "
Milano;28/2/2024;"12";"9";"15";"9";"88";"19";"6";"11";"0";"1016";"0";"0";"pioggia "
Milano;29/2/2024;"12";"9";"14";"10";"86";"19";"5";"15";"0";"1013";"0";"0";"pioggia "
