LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/6/2024;"20";"13";"26";"13";"64";"21";"0";"0";"0";"1011";"0";"0";""
Milano;2/6/2024;"19";"15";"25";"13";"70";"21";"0";"0";"0";"1015";"0";"0";"pioggia temporale "
Milano;3/6/2024;"19";"15";"24";"15";"78";"18";"0";"0";"0";"1013";"0";"0";"pioggia "
Milano;4/6/2024;"21";"16";"25";"14";"67";"21";"0";"0";"0";"1013";"0";"0";"pioggia temporale "
Milano;5/6/2024;"22";"16";"27";"16";"69";"21";"0";"0";"0";"1015";"0";"0";""
Milano;6/6/2024;"23";"18";"27";"16";"67";"21";"0";"0";"0";"1017";"0";"0";""
Milano;7/6/2024;"23";"20";"28";"18";"71";"21";"0";"0";"0";"1016";"0";"0";""
Milano;8/6/2024;"24";"20";"27";"18";"68";"19";"0";"0";"0";"1013";"0";"0";"pioggia "
Milano;9/6/2024;"23";"19";"27";"17";"71";"16";"0";"0";"0";"1007";"0";"0";"pioggia temporale "
Milano;10/6/2024;"23";"18";"28";"17";"72";"20";"0";"0";"0";"1004";"0";"0";"pioggia "
Milano;11/6/2024;"21";"16";"25";"16";"75";"19";"0";"0";"0";"1008";"0";"0";"pioggia temporale "
Milano;12/6/2024;"18";"15";"24";"15";"83";"19";"1";"30";"0";"1011";"0";"0";"pioggia temporale "
Milano;13/6/2024;"19";"15";"24";"14";"74";"19";"0";"0";"0";"1015";"0";"0";""
Milano;14/6/2024;"20";"16";"24";"14";"71";"21";"0";"0";"0";"1016";"0";"0";""
Milano;15/6/2024;"21";"19";"23";"16";"74";"20";"0";"0";"0";"1011";"0";"0";""
Milano;16/6/2024;"22";"17";"27";"16";"70";"20";"0";"0";"0";"1011";"0";"0";""
Milano;17/6/2024;"24";"18";"29";"15";"60";"19";"0";"0";"0";"1015";"0";"0";""
Milano;18/6/2024;"25";"18";"30";"17";"64";"20";"0";"0";"0";"1017";"0";"0";""
Milano;19/6/2024;"26";"21";"31";"18";"62";"20";"0";"0";"0";"1016";"0";"0";""
Milano;20/6/2024;"26";"22";"29";"19";"70";"19";"0";"21";"0";"1019";"0";"0";"pioggia "
Milano;21/6/2024;"24";"20";"28";"21";"83";"17";"1";"44";"0";"1015";"0";"0";"pioggia temporale "
Milano;22/6/2024;"23";"17";"29";"16";"66";"20";"0";"0";"0";"1010";"0";"0";"pioggia temporale "
Milano;23/6/2024;"18";"17";"22";"15";"84";"20";"0";"0";"0";"1012";"0";"0";"pioggia "
Milano;24/6/2024;"20";"17";"23";"18";"87";"20";"0";"0";"0";"1014";"0";"0";"pioggia "
Milano;25/6/2024;"21";"19";"24";"18";"82";"16";"0";"0";"0";"1013";"0";"0";"pioggia "
Milano;26/6/2024;"22";"17";"28";"18";"78";"22";"0";"0";"0";"1012";"0";"0";"nebbia "
Milano;27/6/2024;"25";"18";"31";"19";"72";"19";"0";"0";"0";"1011";"0";"0";""
Milano;28/6/2024;"27";"21";"33";"19";"61";"21";"0";"0";"0";"1015";"0";"0";""
Milano;29/6/2024;"28";"24";"31";"22";"72";"22";"0";"0";"0";"1016";"0";"0";"pioggia "
Milano;30/6/2024;"26";"22";"30";"19";"67";"20";"0";"0";"0";"1011";"0";"0";""
