LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/7/2024;"25";"21";"29";"19";"72";"18";"0";"0";"0";"1010";"0";"0";""
Milano;2/7/2024;"24";"18";"29";"17";"65";"20";"0";"8";"0";"1009";"0";"0";"pioggia temporale "
Milano;3/7/2024;"20";"18";"22";"16";"82";"20";"0";"0";"0";"1008";"0";"0";"pioggia temporale "
Milano;4/7/2024;"22";"17";"28";"16";"72";"20";"0";"0";"0";"1010";"0";"0";""
Milano;5/7/2024;"24";"19";"29";"17";"66";"18";"0";"0";"0";"1014";"0";"0";""
Milano;6/7/2024;"26";"22";"29";"18";"63";"20";"0";"0";"0";"1011";"0";"0";""
Milano;7/7/2024;"25";"22";"29";"19";"69";"18";"0";"0";"0";"1011";"0";"0";"pioggia temporale "
Milano;8/7/2024;"25";"21";"30";"19";"71";"20";"0";"0";"0";"1015";"0";"0";"pioggia "
Milano;9/7/2024;"27";"20";"33";"20";"67";"20";"0";"0";"0";"1016";"0";"0";""
Milano;10/7/2024;"29";"22";"34";"20";"62";"19";"0";"0";"0";"1015";"0";"0";""
Milano;11/7/2024;"29";"23";"34";"19";"53";"20";"0";"0";"0";"1014";"0";"0";""
Milano;12/7/2024;"26";"22";"29";"19";"69";"19";"0";"0";"0";"1011";"0";"0";"pioggia temporale "
Milano;13/7/2024;"26";"21";"31";"20";"70";"19";"0";"0";"0";"1009";"0";"0";""
Milano;14/7/2024;"27";"20";"31";"18";"60";"21";"0";"0";"0";"1011";"0";"0";""
Milano;15/7/2024;"27";"20";"33";"17";"56";"19";"0";"0";"0";"1013";"0";"0";""
Milano;16/7/2024;"29";"23";"33";"18";"53";"20";"0";"0";"0";"1012";"0";"0";""
Milano;17/7/2024;"28";"24";"34";"20";"61";"20";"0";"0";"0";"1014";"0";"0";""
Milano;18/7/2024;"29";"23";"34";"21";"63";"21";"0";"0";"0";"1017";"0";"0";""
Milano;19/7/2024;"29";"25";"35";"21";"64";"20";"0";"21";"0";"1015";"0";"0";"pioggia "
Milano;20/7/2024;"27";"21";"32";"19";"66";"20";"0";"0";"0";"1010";"0";"0";"pioggia "
Milano;21/7/2024;"27";"23";"32";"19";"62";"23";"0";"0";"0";"1009";"0";"0";""
Milano;22/7/2024;"28";"21";"33";"20";"65";"20";"0";"0";"0";"1011";"0";"0";""
Milano;23/7/2024;"28";"24";"32";"20";"64";"21";"0";"0";"0";"1015";"0";"0";""
Milano;24/7/2024;"28";"24";"33";"20";"63";"20";"0";"0";"0";"1012";"0";"0";""
Milano;25/7/2024;"28";"24";"32";"19";"58";"20";"0";"0";"0";"1011";"0";"0";""
Milano;26/7/2024;"28";"24";"33";"19";"57";"19";"0";"0";"0";"1012";"0";"0";""
Milano;27/7/2024;"29";"24";"33";"21";"63";"21";"0";"0";"0";"1015";"0";"0";""
Milano;28/7/2024;"30";"23";"35";"21";"61";"20";"0";"0";"0";"1017";"0";"0";""
Milano;29/7/2024;"29";"24";"33";"20";"61";"19";"0";"0";"0";"1018";"0";"0";""
Milano;30/7/2024;"29";"25";"33";"20";"59";"19";"0";"0";"0";"1017";"0";"0";""
Milano;31/7/2024;"30";"26";"34";"20";"58";"18";"0";"0";"0";"1014";"0";"0";"pioggia "
