LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/5/2024;"17";"15";"19";"13";"79";"16";"8";"15";"0";"1009";"0";"0";"pioggia "
Milano;2/5/2024;"14";"11";"16";"12";"93";"14";"12";"26";"0";"1005";"0";"0";"pioggia "
Milano;3/5/2024;"15";"9";"21";"10";"78";"19";"7";"13";"0";"1010";"0";"0";"pioggia temporale nebbia "
Milano;4/5/2024;"16";"12";"21";"11";"74";"20";"6";"15";"0";"1015";"0";"0";"pioggia "
Milano;5/5/2024;"18";"14";"23";"11";"63";"19";"10";"15";"0";"1015";"0";"0";""
Milano;6/5/2024;"17";"15";"19";"11";"69";"19";"8";"17";"0";"1013";"0";"0";"pioggia "
Milano;7/5/2024;"15";"14";"17";"13";"88";"17";"7";"13";"0";"1013";"0";"0";"pioggia "
Milano;8/5/2024;"17";"12";"22";"13";"80";"18";"7";"13";"0";"1017";"0";"0";"pioggia "
Milano;9/5/2024;"20";"15";"24";"13";"69";"21";"6";"13";"0";"1019";"0";"0";"pioggia temporale "
Milano;10/5/2024;"20";"15";"24";"12";"64";"19";"7";"11";"0";"1019";"0";"0";"pioggia "
Milano;11/5/2024;"21";"16";"26";"12";"59";"21";"6";"13";"0";"1018";"0";"0";""
Milano;12/5/2024;"21";"16";"26";"13";"60";"20";"6";"13";"0";"1016";"0";"0";""
Milano;13/5/2024;"20";"16";"23";"13";"67";"19";"8";"18";"0";"1015";"0";"0";"pioggia "
Milano;14/5/2024;"19";"17";"23";"14";"76";"15";"10";"15";"0";"1010";"0";"0";"pioggia "
Milano;15/5/2024;"15";"14";"16";"14";"96";"10";"1";"31";"0";"1009";"0";"0";"pioggia temporale "
Milano;16/5/2024;"15";"13";"18";"14";"94";"16";"0";"0";"0";"1007";"0";"0";"pioggia "
Milano;17/5/2024;"17";"12";"22";"12";"73";"16";"0";"0";"0";"1009";"0";"0";"nebbia "
Milano;18/5/2024;"18";"13";"24";"12";"68";"20";"0";"0";"0";"1013";"0";"0";"pioggia temporale "
Milano;19/5/2024;"19";"14";"24";"14";"74";"21";"0";"9";"0";"1012";"0";"0";""
Milano;20/5/2024;"19";"15";"23";"15";"79";"18";"0";"0";"0";"1010";"0";"0";"pioggia temporale "
Milano;21/5/2024;"16";"16";"16";"15";"93";"17";"0";"0";"0";"1008";"0";"0";"pioggia "
Milano;22/5/2024;"18";"14";"24";"14";"75";"18";"0";"0";"0";"1010";"0";"0";"pioggia temporale "
Milano;23/5/2024;"16";"13";"19";"14";"87";"17";"0";"0";"0";"1016";"0";"0";"pioggia temporale "
Milano;24/5/2024;"16";"12";"21";"13";"83";"20";"0";"0";"0";"1018";"0";"0";"pioggia temporale "
Milano;25/5/2024;"17";"13";"21";"13";"80";"19";"0";"0";"0";"1017";"0";"0";"pioggia temporale "
Milano;26/5/2024;"20";"12";"27";"13";"67";"20";"0";"0";"0";"1017";"0";"0";""
Milano;27/5/2024;"20";"17";"25";"15";"71";"20";"0";"0";"0";"1018";"0";"0";"pioggia "
Milano;28/5/2024;"21";"17";"25";"16";"76";"18";"0";"0";"0";"1015";"0";"0";"pioggia "
Milano;29/5/2024;"22";"17";"26";"15";"69";"21";"0";"0";"0";"1014";"0";"0";""
Milano;30/5/2024;"20";"18";"22";"16";"80";"18";"0";"0";"0";"1006";"0";"0";"pioggia temporale "
Milano;31/5/2024;"17";"15";"19";"12";"75";"18";"0";"0";"0";"1004";"0";"0";"pioggia temporale "
