LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/3/2024;"11";"10";"11";"10";"96";"13";"8";"11";"0";"1006";"0";"0";"pioggia "
Milano;2/3/2024;"10";"9";"12";"9";"94";"15";"9";"18";"0";"1008";"0";"0";"pioggia "
Milano;3/3/2024;"11";"10";"12";"8";"81";"20";"20";"30";"0";"1005";"0";"0";"pioggia "
Milano;4/3/2024;"11";"9";"13";"8";"84";"20";"8";"28";"0";"1007";"0";"0";"pioggia "
Milano;5/3/2024;"10";"5";"14";"8";"87";"17";"7";"17";"0";"1011";"0";"0";"pioggia nebbia "
Milano;6/3/2024;"10";"6";"13";"6";"79";"19";"6";"15";"0";"1014";"0";"0";"pioggia temporale "
Milano;7/3/2024;"10";"5";"14";"6";"77";"21";"5";"11";"0";"1016";"0";"0";"nebbia "
Milano;8/3/2024;"9";"7";"10";"6";"83";"21";"14";"22";"0";"1015";"0";"0";"pioggia "
Milano;9/3/2024;"8";"6";"9";"7";"92";"12";"7";"11";"0";"1010";"0";"0";"pioggia "
Milano;10/3/2024;"9";"6";"10";"7";"87";"13";"16";"39";"0";"1001";"0";"0";"pioggia "
Milano;11/3/2024;"10";"6";"14";"7";"85";"20";"8";"15";"0";"1005";"0";"0";"pioggia "
Milano;12/3/2024;"12";"3";"20";"4";"61";"19";"8";"21";"0";"1011";"0";"0";"nebbia "
Milano;13/3/2024;"12";"6";"17";"5";"64";"20";"6";"13";"0";"1016";"0";"0";""
Milano;14/3/2024;"12";"6";"18";"7";"75";"17";"6";"11";"0";"1017";"0";"0";"nebbia "
Milano;15/3/2024;"13";"10";"17";"8";"71";"20";"8";"11";"0";"1017";"0";"0";""
Milano;16/3/2024;"14";"9";"20";"9";"70";"20";"7";"13";"0";"1018";"0";"0";""
Milano;17/3/2024;"13";"8";"18";"9";"76";"21";"5";"11";"0";"1020";"0";"0";""
Milano;18/3/2024;"14";"11";"19";"9";"72";"19";"7";"11";"0";"1014";"0";"0";""
Milano;19/3/2024;"13";"11";"18";"11";"86";"8";"8";"15";"0";"1017";"0";"0";"pioggia nebbia "
Milano;20/3/2024;"13";"8";"18";"9";"78";"13";"6";"13";"0";"1022";"0";"0";"nebbia "
Milano;21/3/2024;"15";"8";"21";"9";"72";"17";"8";"17";"0";"1020";"0";"0";"nebbia "
Milano;22/3/2024;"15";"9";"20";"10";"75";"12";"7";"13";"0";"1019";"0";"0";""
Milano;23/3/2024;"14";"7";"20";"9";"70";"15";"9";"17";"0";"1010";"0";"0";""
Milano;24/3/2024;"13";"6";"19";"0";"28";"20";"12";"24";"0";"1007";"0";"0";""
Milano;25/3/2024;"11";"4";"16";"1";"37";"20";"7";"18";"0";"1007";"0";"0";""
Milano;26/3/2024;"9";"8";"11";"6";"80";"18";"6";"18";"0";"1002";"0";"0";"pioggia "
Milano;27/3/2024;"9";"7";"12";"8";"90";"13";"9";"24";"0";"993";"0";"0";"pioggia "
Milano;28/3/2024;"9";"6";"10";"7";"91";"16";"6";"15";"0";"1000";"0";"0";"pioggia "
Milano;29/3/2024;"10";"9";"13";"9";"93";"13";"6";"15";"0";"1011";"0";"0";"pioggia "
Milano;30/3/2024;"13";"9";"17";"11";"87";"12";"17";"37";"0";"1006";"0";"0";"pioggia temporale "
Milano;31/3/2024;"14";"11";"17";"12";"92";"19";"12";"21";"0";"1005";"0";"0";"pioggia "
