LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/11/2024;"13";"8";"21";"11";"88";"13";"0";"0";"0";"1024";"0";"0";"nebbia "
Milano;2/11/2024;"13";"7";"20";"10";"88";"16";"0";"0";"0";"1023";"0";"0";"nebbia "
Milano;3/11/2024;"12";"8";"17";"10";"86";"17";"0";"0";"0";"1027";"0";"0";"nebbia "
Milano;4/11/2024;"9";"7";"12";"9";"99";"5";"0";"0";"0";"1027";"0";"0";"nebbia "
Milano;5/11/2024;"9";"7";"13";"9";"98";"2";"0";"0";"0";"1026";"0";"0";"nebbia "
Milano;6/11/2024;"8";"6";"12";"8";"97";"3";"0";"0";"0";"1029";"0";"0";"nebbia "
Milano;7/11/2024;"8";"5";"14";"7";"96";"3";"0";"0";"0";"1030";"0";"0";"nebbia "
Milano;8/11/2024;"8";"6";"12";"7";"97";"2";"0";"0";"0";"1029";"0";"0";"nebbia "
Milano;9/11/2024;"9";"6";"12";"8";"97";"3";"0";"0";"0";"1027";"0";"0";"nebbia "
Milano;10/11/2024;"7";"4";"13";"6";"95";"5";"0";"0";"0";"1023";"0";"0";"nebbia "
Milano;11/11/2024;"7";"2";"13";"4";"85";"14";"0";"0";"0";"1024";"0";"0";"nebbia "
Milano;12/11/2024;"8";"5";"13";"3";"71";"20";"0";"0";"0";"1023";"0";"0";""
Milano;13/11/2024;"7";"1";"13";"3";"81";"17";"0";"0";"0";"1023";"0";"0";"nebbia "
Milano;14/11/2024;"7";"3";"12";"4";"77";"17";"0";"0";"0";"1023";"0";"0";"pioggia "
Milano;15/11/2024;"5";"1";"12";"3";"88";"11";"0";"0";"0";"1024";"0";"0";"nebbia "
Milano;16/11/2024;"4";"1";"6";"4";"100";"1";"0";"0";"0";"1023";"0";"0";"nebbia "
Milano;17/11/2024;"6";"3";"11";"5";"91";"4";"0";"0";"0";"1015";"0";"0";"nebbia "
Milano;18/11/2024;"7";"3";"10";"6";"95";"2";"0";"0";"0";"1013";"0";"0";"nebbia "
Milano;19/11/2024;"7";"4";"9";"6";"96";"2";"0";"0";"0";"1010";"0";"0";"pioggia nebbia "
Milano;20/11/2024;"9";"6";"15";"8";"63";"10";"2";"37";"0";"999";"0";"0";"nebbia "
Milano;21/11/2024;"4";"-1";"8";"1";"59";"18";"0";"0";"0";"1003";"0";"0";"pioggia neve "
Milano;22/11/2024;"5";"1";"11";"2";"54";"19";"3";"37";"0";"1004";"0";"0";""
Milano;23/11/2024;"5";"-1";"12";"1";"54";"19";"0";"0";"0";"1026";"0";"0";""
Milano;24/11/2024;"6";"5";"9";"1";"66";"21";"0";"0";"0";"1033";"0";"0";"pioggia "
Milano;25/11/2024;"7";"6";"8";"4";"81";"18";"0";"0";"0";"1027";"0";"0";"pioggia "
Milano;26/11/2024;"7";"6";"8";"7";"96";"5";"0";"0";"0";"1023";"0";"0";"pioggia "
Milano;27/11/2024;"9";"8";"12";"8";"94";"10";"0";"0";"0";"1024";"0";"0";""
Milano;28/11/2024;"9";"7";"12";"8";"93";"10";"0";"0";"0";"1022";"0";"0";"nebbia "
Milano;29/11/2024;"8";"3";"11";"7";"95";"4";"0";"0";"0";"1026";"0";"0";"nebbia "
Milano;30/11/2024;"5";"3";"7";"5";"99";"1";"0";"0";"0";"1030";"0";"0";"nebbia "
