LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/10/2024;"17";"15";"19";"13";"78";"20";"0";"0";"0";"1015";"0";"0";""
Milano;2/10/2024;"17";"15";"20";"15";"89";"14";"0";"0";"0";"1006";"0";"0";"pioggia "
Milano;3/10/2024;"15";"13";"17";"14";"95";"11";"0";"15";"0";"1004";"0";"0";"pioggia "
Milano;4/10/2024;"14";"12";"15";"12";"90";"20";"0";"0";"0";"1007";"0";"0";"pioggia "
Milano;5/10/2024;"13";"9";"19";"10";"81";"20";"0";"0";"0";"1013";"0";"0";"nebbia "
Milano;6/10/2024;"12";"7";"18";"10";"86";"20";"0";"0";"0";"1013";"0";"0";"nebbia "
Milano;7/10/2024;"14";"10";"16";"12";"87";"16";"0";"0";"0";"1015";"0";"0";"pioggia "
Milano;8/10/2024;"15";"14";"16";"14";"98";"8";"0";"0";"0";"1008";"0";"0";"pioggia "
Milano;9/10/2024;"16";"13";"19";"15";"93";"10";"0";"0";"0";"1005";"0";"0";"pioggia nebbia "
Milano;10/10/2024;"17";"14";"21";"15";"89";"18";"0";"0";"0";"999";"0";"0";"pioggia "
Milano;11/10/2024;"15";"10";"20";"12";"83";"19";"0";"0";"0";"1011";"0";"0";"nebbia "
Milano;12/10/2024;"15";"11";"19";"11";"81";"19";"0";"0";"0";"1018";"0";"0";""
Milano;13/10/2024;"17";"14";"20";"13";"79";"20";"0";"0";"0";"1018";"0";"0";""
Milano;14/10/2024;"16";"14";"18";"14";"89";"18";"0";"0";"0";"1020";"0";"0";"pioggia "
Milano;15/10/2024;"17";"14";"20";"15";"87";"18";"0";"0";"0";"1020";"0";"0";""
Milano;16/10/2024;"16";"15";"17";"15";"92";"6";"0";"0";"0";"1021";"0";"0";"pioggia "
Milano;17/10/2024;"16";"15";"17";"16";"97";"9";"0";"0";"0";"1020";"0";"0";"pioggia "
Milano;18/10/2024;"17";"14";"20";"16";"92";"14";"0";"0";"0";"1016";"0";"0";"pioggia "
Milano;19/10/2024;"15";"12";"17";"14";"93";"21";"0";"0";"0";"1017";"0";"0";"pioggia "
Milano;20/10/2024;"17";"13";"21";"15";"89";"19";"0";"0";"0";"1024";"0";"0";"pioggia "
Milano;21/10/2024;"17";"12";"22";"14";"86";"20";"0";"0";"0";"1029";"0";"0";"nebbia "
Milano;22/10/2024;"17";"14";"21";"15";"88";"16";"0";"0";"0";"1028";"0";"0";"nebbia "
Milano;23/10/2024;"17";"15";"18";"16";"94";"8";"0";"0";"0";"1029";"0";"0";"pioggia "
Milano;24/10/2024;"16";"15";"17";"15";"92";"14";"0";"0";"0";"1028";"0";"0";"pioggia "
Milano;25/10/2024;"15";"15";"16";"14";"94";"8";"0";"0";"0";"1024";"0";"0";"pioggia "
Milano;26/10/2024;"16";"15";"17";"16";"96";"11";"0";"0";"0";"1021";"0";"0";"pioggia nebbia "
Milano;27/10/2024;"17";"13";"19";"16";"94";"14";"0";"0";"0";"1023";"0";"0";"pioggia nebbia "
Milano;28/10/2024;"16";"12";"21";"14";"90";"14";"0";"0";"0";"1026";"0";"0";"nebbia "
Milano;29/10/2024;"15";"10";"21";"13";"90";"11";"0";"0";"0";"1025";"0";"0";"nebbia "
Milano;30/10/2024;"14";"10";"21";"12";"91";"10";"0";"0";"0";"1025";"0";"0";"nebbia "
Milano;31/10/2024;"13";"9";"20";"12";"91";"14";"0";"0";"0";"1026";"0";"0";"nebbia "
