LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/9/2024;"27";"21";"34";"18";"62";"19";"0";"0";"0";"1015";"0";"0";""
Milano;2/9/2024;"24";"21";"29";"19";"76";"17";"0";"0";"0";"1013";"0";"0";"pioggia "
Milano;3/9/2024;"26";"20";"31";"19";"68";"20";"0";"0";"0";"1015";"0";"0";""
Milano;4/9/2024;"24";"20";"29";"19";"75";"19";"0";"0";"0";"1014";"0";"0";"pioggia temporale "
Milano;5/9/2024;"21";"18";"22";"19";"90";"16";"0";"21";"0";"1009";"0";"0";"pioggia temporale "
Milano;6/9/2024;"22";"20";"27";"19";"83";"13";"0";"0";"0";"1013";"0";"0";"pioggia "
Milano;7/9/2024;"23";"18";"28";"19";"78";"20";"0";"0";"0";"1016";"0";"0";""
Milano;8/9/2024;"22";"20";"24";"20";"92";"14";"0";"0";"0";"1011";"0";"0";"pioggia "
Milano;9/9/2024;"23";"18";"29";"17";"71";"17";"0";"0";"0";"1003";"0";"0";"pioggia "
Milano;10/9/2024;"22";"15";"28";"15";"67";"20";"0";"0";"0";"1008";"0";"0";""
Milano;11/9/2024;"21";"17";"25";"17";"80";"20";"0";"0";"0";"1008";"0";"0";""
Milano;12/9/2024;"18";"13";"20";"15";"85";"19";"0";"0";"0";"1003";"0";"0";"pioggia "
Milano;13/9/2024;"16";"9";"22";"10";"59";"20";"3";"31";"0";"1008";"0";"0";""
Milano;14/9/2024;"19";"14";"24";"4";"32";"19";"5";"30";"0";"1013";"0";"0";""
Milano;15/9/2024;"18";"10";"26";"10";"64";"21";"0";"0";"0";"1012";"0";"0";""
Milano;16/9/2024;"18";"11";"23";"10";"63";"20";"0";"0";"0";"1012";"0";"0";""
Milano;17/9/2024;"17";"15";"20";"12";"74";"19";"0";"0";"0";"1016";"0";"0";"pioggia "
Milano;18/9/2024;"15";"11";"18";"12";"83";"19";"0";"0";"0";"1019";"0";"0";"pioggia "
Milano;19/9/2024;"18";"13";"24";"13";"76";"19";"0";"0";"0";"1017";"0";"0";"pioggia "
Milano;20/9/2024;"18";"15";"24";"13";"75";"20";"0";"0";"0";"1020";"0";"0";""
Milano;21/9/2024;"19";"14";"24";"14";"74";"19";"0";"0";"0";"1021";"0";"0";""
Milano;22/9/2024;"18";"13";"24";"14";"79";"19";"0";"0";"0";"1018";"0";"0";""
Milano;23/9/2024;"18";"16";"22";"15";"86";"15";"0";"0";"0";"1012";"0";"0";"pioggia "
Milano;24/9/2024;"18";"15";"21";"15";"85";"16";"0";"0";"0";"1010";"0";"0";""
Milano;25/9/2024;"17";"14";"21";"14";"79";"21";"0";"0";"0";"1013";"0";"0";""
Milano;26/9/2024;"18";"17";"20";"15";"82";"18";"0";"0";"0";"1009";"0";"0";"pioggia "
Milano;27/9/2024;"20";"17";"26";"16";"79";"15";"0";"0";"0";"1005";"0";"0";"pioggia "
Milano;28/9/2024;"19";"11";"25";"9";"60";"21";"0";"0";"0";"1010";"0";"0";""
Milano;29/9/2024;"17";"12";"21";"10";"63";"21";"0";"0";"0";"1022";"0";"0";""
Milano;30/9/2024;"17";"15";"21";"10";"62";"19";"0";"0";"0";"1020";"0";"0";""
