LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/1/2025;"4";"-2";"8";"2";"84";"7";"0";"0";"0";"1030";"0";"0";"nebbia "
Milano;2/1/2025;"5";"4";"7";"4";"88";"3";"0";"0";"0";"1021";"0";"0";"pioggia "
Milano;3/1/2025;"6";"1";"11";"3";"80";"15";"0";"0";"0";"1014";"0";"0";""
Milano;4/1/2025;"4";"2";"6";"3";"91";"5";"0";"0";"0";"1021";"0";"0";"pioggia nebbia "
Milano;5/1/2025;"4";"4";"5";"3";"91";"4";"0";"0";"0";"1018";"0";"0";"pioggia "
Milano;6/1/2025;"4";"4";"5";"4";"98";"2";"0";"0";"0";"1013";"0";"0";"pioggia "
Milano;7/1/2025;"5";"4";"7";"4";"93";"9";"0";"0";"0";"1009";"0";"0";"pioggia "
Milano;8/1/2025;"5";"5";"6";"5";"95";"5";"0";"0";"0";"1013";"0";"0";"pioggia nebbia "
Milano;9/1/2025;"7";"5";"8";"6";"96";"10";"0";"0";"0";"1010";"0";"0";"pioggia "
Milano;10/1/2025;"6";"3";"10";"3";"82";"18";"0";"0";"0";"1013";"0";"0";"nebbia "
Milano;11/1/2025;"3";"-1";"8";"1";"79";"21";"0";"0";"0";"1018";"0";"0";""
Milano;12/1/2025;"1";"-3";"8";"0";"74";"20";"0";"0";"0";"1025";"0";"0";""
Milano;13/1/2025;"1";"-4";"6";"0";"73";"20";"0";"0";"0";"1031";"0";"0";""
Milano;14/1/2025;"1";"-3";"6";"0";"69";"21";"0";"0";"0";"1033";"0";"0";""
Milano;15/1/2025;"0";"-3";"6";"0";"84";"19";"0";"0";"0";"1026";"0";"0";""
Milano;16/1/2025;"3";"-3";"9";"0";"77";"20";"0";"0";"0";"1033";"0";"0";""
Milano;17/1/2025;"2";"-3";"8";"1";"80";"22";"0";"0";"0";"1036";"0";"0";""
Milano;18/1/2025;"3";"-3";"8";"2";"82";"20";"0";"0";"0";"1029";"0";"0";""
Milano;19/1/2025;"6";"4";"9";"3";"77";"19";"0";"0";"0";"1025";"0";"0";"pioggia "
Milano;20/1/2025;"7";"5";"8";"5";"92";"16";"0";"0";"0";"1022";"0";"0";"pioggia "
Milano;21/1/2025;"7";"4";"8";"6";"95";"9";"0";"0";"0";"1018";"0";"0";"pioggia nebbia "
Milano;22/1/2025;"7";"6";"7";"6";"96";"3";"0";"0";"0";"1017";"0";"0";"pioggia "
Milano;23/1/2025;"7";"6";"9";"6";"96";"9";"0";"0";"0";"1013";"0";"0";"pioggia nebbia "
Milano;24/1/2025;"5";"4";"8";"5";"99";"2";"0";"0";"0";"1018";"0";"0";"nebbia "
Milano;25/1/2025;"6";"4";"7";"6";"100";"2";"0";"0";"0";"1020";"0";"0";"pioggia nebbia "
Milano;26/1/2025;"7";"5";"8";"6";"98";"12";"0";"0";"0";"1014";"0";"0";"pioggia temporale nebbia "
Milano;27/1/2025;"7";"7";"8";"7";"99";"3";"0";"0";"0";"1012";"0";"0";"pioggia "
Milano;28/1/2025;"8";"5";"10";"7";"97";"11";"0";"0";"0";"1001";"0";"0";"pioggia temporale nebbia "
Milano;29/1/2025;"6";"1";"11";"4";"88";"17";"0";"0";"0";"1012";"0";"0";"nebbia "
Milano;30/1/2025;"7";"3";"12";"5";"86";"17";"0";"0";"0";"1020";"0";"0";""
Milano;31/1/2025;"6";"4";"7";"5";"95";"10";"0";"0";"0";"1024";"0";"0";"pioggia nebbia "
