data,visite_sito,visualizzazioni_pagina,durata_media_sessione,frequenza_rimbalzo,click_annunci,spesa_ads,email_inviate,aperture_email,click_email,ordini,valore_totale_ordini,utenti_nuovi,churn_rate,tasso_conversione,segmento_dominante
2023-01-01,78,130,154.9,50.5,10,181.54,598,240,88,33,3206.11,15,3.34,0.753,B
2023-01-02,108,188,130.5,56.7,11,179.78,862,345,131,48,4576.4,16,3.08,1.0,A
2023-01-03,115,184,145.5,52.8,12,184.29,862,336,131,51,4929.31,19,3.07,1.0,D
2023-01-04,107,193,151.6,52.8,11,185.6,869,347,131,50,4859.36,16,3.07,1.0,D
2023-01-05,110,187,154.2,51.3,10,180.74,873,349,128,46,4413.57,16,3.13,1.0,A
2023-01-06,110,197,148.6,52.5,10,182.96,880,351,131,49,4535.25,17,3.08,1.0,C
2023-01-07,81,129,146.3,50.3,10,186.75,620,244,92,34,3191.08,14,3.33,0.776,C
2023-01-08,77,124,158.4,51.7,9,186.78,611,242,93,34,3218.53,12,3.33,0.781,A
2023-01-09,112,182,152.9,50.5,11,188.3,878,350,134,54,5163.8,15,3.09,1.0,C
2023-01-10,114,195,143.5,52.3,12,187.54,899,360,137,53,5011.51,20,3.1,1.0,A
2023-01-11,109,187,150.4,47.4,12,191.92,904,365,134,53,5187.24,16,3.09,1.0,A
2023-01-12,112,188,153.8,50.1,9,192.63,897,364,129,49,4830.86,16,3.05,1.0,D
2023-01-13,110,180,167.2,54.6,11,192.12,897,357,131,50,4835.06,11,3.1,1.0,C
2023-01-14,77,122,157.9,53.8,12,195.14,638,253,99,35,3451.98,13,3.32,0.799,A
2023-01-15,85,144,162.1,54.5,14,194.72,645,260,96,36,3363.02,13,3.32,0.823,B
2023-01-16,116,194,143.9,55.6,6,128.07,928,374,138,52,4999.32,18,3.13,1.0,D
2023-01-17,116,193,144.8,54.1,7,131.12,926,368,142,51,4774.91,17,3.07,1.0,B
2023-01-18,118,211,147.6,51.7,9,129.06,926,374,141,53,4834.83,16,3.09,1.0,D
2023-01-19,110,186,148.6,50.5,8,133.32,927,376,139,52,4890.46,16,3.06,1.0,D
2023-01-20,112,200,139.9,55.3,8,132.05,936,381,140,54,5240.7,18,3.12,1.0,B
