data,visite_sito,visualizzazioni_pagina,durata_media_sessione,frequenza_rimbalzo,click_annunci,spesa_ads,email_inviate,aperture_email,click_email,ordini,valore_totale_ordini,utenti_nuovi,churn_rate,tasso_conversione,segmento_dominante
2023-01-01,79,130,151.9,51.8,9,182.45,599,240,86,32,3216.21,8,3.73,0.405,A
2023-01-02,108,192,161.3,47.4,12,176.66,864,347,134,48,4544.92,24,3.21,0.446,A
2023-01-03,125,189,119.0,49.0,13,186.54,861,326,133,53,5338.21,19,3.53,0.423,C
2023-01-04,103,199,142.2,47.7,11,188.42,870,346,132,51,5151.55,16,3.59,0.494,D
2023-01-05,109,188,155.5,54.1,8,174.89,874,350,124,42,4142.73,14,3.74,0.382,A
2023-01-06,110,207,106.5,51.2,8,179.06,884,351,131,49,4188.94,16,3.57,0.442,B
2023-01-07,82,124,135.3,54.1,8,187.13,625,242,90,34,2942.19,6,3.56,0.408,D
2023-01-08,73,110,166.5,52.1,8,185.83,603,236,95,33,3085.87,10,3.76,0.458,A
2023-01-09,112,173,165.0,51.6,12,188.25,867,345,136,57,5645.98,12,3.6,0.507,A
2023-01-10,114,197,155.6,53.5,13,184.98,904,362,141,55,5233.35,16,3.43,0.485,B
2023-01-11,102,175,163.2,52.3,12,194.56,910,370,133,55,5607.79,3,3.52,0.542,A
2023-01-12,111,181,153.2,44.2,7,194.96,892,368,120,47,4832.93,11,3.7,0.422,A
2023-01-13,103,160,158.3,51.1,11,192.31,888,352,124,47,4830.64,23,3.93,0.455,C
2023-01-14,69,98,145.3,54.0,12,198.52,639,251,103,34,3612.4,14,3.71,0.499,C
2023-01-15,87,147,151.7,57.3,16,196.13,650,264,95,36,3147.87,20,3.87,0.418,B
2023-01-16,119,195,140.5,58.0,5,125.49,937,381,137,52,5069.95,25,3.48,0.437,B
2023-01-17,119,192,169.0,47.5,7,132.23,929,367,148,50,4568.95,21,3.52,0.419,B
2023-01-18,121,229,172.8,50.3,11,126.18,924,378,145,53,4553.87,16,3.56,0.44,C
2023-01-19,100,168,170.7,46.8,9,135.96,923,379,139,51,4718.5,10,3.52,0.507,D
2023-01-20,106,199,143.9,57.4,9,131.9,936,387,139,54,5553.47,22,3.34,0.512,C
2023-01-21,98,159,135.7,56.3,8,131.81,655,280,98,39,3861.95,15,3.89,0.398,C
2023-01-22,74,129,169.2,52.6,8,129.91,651,252,99,35,3914.14,24,3.75,0.471,D
2023-01-23,126,214,158.2,52.6,10,140.0,969,388,153,60,5735.2,17,3.51,0.474,D
2023-01-24,114,169,154.9,56.4,6,133.68,970,388,148,54,5894.68,27,3.7,0.476,A
2023-01-25,122,228,140.5,56.6,10,132.88,968,386,149,45,4343.71,17,3.71,0.371,D
2023-01-26,112,188,156.4,55.7,5,133.82,951,374,149,54,5117.79,23,3.71,0.482,D
2023-01-27,126,225,133.7,54.7,9,138.8,973,374,140,58,5111.19,27,3.32,0.46,B
2023-01-28,88,138,159.5,51.0,9,138.52,684,275,106,33,3493.0,8,3.63,0.38,A
2023-01-29,82,137,170.7,53.8,7,139.3,685,266,101,39,3519.73,10,3.57,0.47,C
2023-01-30,114,181,174.5,53.7,8,139.93,988,396,136,57,5264.43,12,3.67,0.502,B
2023-01-31,124,230,160.6,51.4,8,149.02,986,386,137,50,5096.3,12,3.52,0.399,C
2023-02-01,112,195,129.3,52.5,6,136.81,991,385,144,54,5492.39,20,3.07,0.483,B
2023-02-02,126,220,153.0,55.8,8,136.81,994,400,152,52,5306.51,18,3.41,0.414,A
2023-02-03,143,264,182.1,55.9,6,135.82,994,399,150,64,5989.13,22,3.58,0.448,A
2023-02-04,97,182,137.0,50.9,9,143.48,678,277,103,39,3712.52,17,3.65,0.405,D
2023-02-05,93,169,149.1,51.8,6,146.55,700,302,115,44,4134.9,5,3.91,0.47,A
2023-02-06,124,189,171.2,52.5,10,140.84,996,401,143,59,5865.72,25,3.69,0.479,C
2023-02-07,107,171,159.3,53.5,6,137.7,992,402,149,58,5986.52,14,3.53,0.546,A
