data,visite_sito,visualizzazioni_pagina,durata_media_sessione,frequenza_rimbalzo,click_annunci,spesa_ads,email_inviate,aperture_email,click_email,ordini,valore_totale_ordini,utenti_nuovi,churn_rate,tasso_conversione,segmento_dominante
2023-01-01,65,71,153.2,47.9,3,153.82,635,229,73,21,2230.33,-1,3.88,0.328,A
2023-01-02,101,207,168.9,40.8,9,141.15,925,319,115,31,2849.27,26,3.16,0.314,A
2023-01-03,40,104,98.3,42.7,12,159.83,908,356,95,37,3872.37,4,3.12,0.928,C
2023-01-04,90,158,136.9,40.9,8,162.5,926,306,124,42,4324.68,10,3.68,0.465,D
2023-01-05,93,81,159.1,51.7,0,134.36,927,324,112,21,2237.14,4,3.94,0.228,A
2023-01-06,88,126,77.6,46.1,0,141.62,951,333,124,36,2563.52,8,3.63,0.412,B
2023-01-07,43,32,125.6,51.5,0,156.69,676,244,72,21,1523.96,-7,3.49,0.496,D
2023-01-08,44,114,177.5,48.6,-1,153.02,607,203,65,16,1376.77,2,3.95,0.382,A
2023-01-09,85,195,175.1,47.7,8,156.78,874,312,95,47,4657.16,0,3.64,0.555,A
2023-01-10,105,221,159.4,50.8,13,149.18,976,338,119,44,4037.63,7,3.47,0.426,B
2023-01-11,120,154,172.1,48.9,8,167.26,986,313,118,52,5292.59,-13,3.66,0.437,A
2023-01-12,123,60,155.4,35.2,-2,167.01,924,323,107,36,3900.37,1,3.88,0.291,A
2023-01-13,84,46,163.9,46.8,7,160.65,904,294,100,31,3467.24,23,4.21,0.377,C
2023-01-14,57,162,142.1,51.4,7,172.01,678,202,71,15,1976.02,14,4.02,0.267,C
2023-01-15,91,125,152.9,57.1,18,166.17,706,249,84,27,1996.54,22,4.12,0.306,B
2023-01-16,120,154,134.2,58.1,-2,99.57,1027,369,119,39,3759.57,25,3.56,0.325,B
2023-01-17,87,222,181.6,40.9,3,112.34,993,358,113,24,1936.93,15,3.62,0.284,B
2023-01-18,126,265,188.0,45.7,13,99.56,971,351,128,38,2648.09,8,3.68,0.306,C
2023-01-19,128,207,184.5,39.8,8,118.42,959,297,114,35,3030.48,2,3.74,0.274,D
2023-01-20,141,211,139.8,57.0,8,109.63,991,319,129,47,4901.51,25,3.43,0.334,C
2023-01-21,124,192,126.2,55.0,6,108.76,687,280,78,31,3105.88,13,4.17,0.257,C
2023-01-22,43,81,181.9,49.5,6,104.28,669,213,82,20,2853.82,29,3.89,0.469,D
2023-01-23,111,257,163.6,49.3,10,123.8,1065,385,127,48,4414.84,7,3.56,0.433,D
2023-01-24,107,192,158.2,55.6,1,110.5,1061,357,113,36,4480.63,30,3.92,0.338,A
2023-01-25,105,205,134.2,55.7,9,108.23,1046,367,137,16,1575.63,8,3.94,0.156,D
2023-01-26,78,184,160.6,54.4,-1,109.46,989,333,117,34,3083.33,21,3.87,0.433,D
2023-01-27,63,42,122.9,52.4,7,118.77,1046,377,131,51,3960.39,23,2.95,0.81,B
2023-01-28,79,164,165.9,46.6,6,117.56,736,260,82,11,1562.39,-2,3.84,0.141,A
2023-01-29,51,67,184.5,51.5,2,118.49,733,247,86,28,2313.83,0,3.54,0.554,C
2023-01-30,111,53,190.8,51.4,5,119.12,1070,353,121,53,4481.5,0,3.81,0.477,B
2023-01-31,83,26,167.7,47.3,3,136.68,1056,375,136,33,3694.17,-3,3.49,0.407,C
2023-02-01,73,66,115.4,48.6,0,111.64,1063,347,130,40,4214.03,14,2.81,0.55,B
2023-02-02,114,210,154.9,54.5,3,111.02,1064,381,130,30,3299.2,9,3.46,0.264,A
2023-02-03,110,182,203.5,55.2,0,108.44,1059,423,137,61,5337.45,11,3.54,0.555,A
2023-02-04,88,151,128.3,46.1,7,123.16,683,266,91,29,2636.61,14,3.75,0.333,D
2023-02-05,140,321,148.5,47.7,0,128.71,742,274,95,35,3161.35,-4,4.3,0.253,A
2023-02-06,116,122,185.3,49.3,9,116.7,1043,363,113,50,4906.44,24,3.83,0.431,C
2023-02-07,116,185,165.4,50.8,0,109.85,1025,320,117,45,4880.16,8,3.71,0.39,A
2023-02-08,80,144,212.0,43.9,2,110.42,1118,364,126,31,3062.3,13,3.67,0.397,B
2023-02-09,74,83,131.7,59.2,3,125.57,1123,418,140,37,4351.71,13,3.93,0.498,B
2023-02-10,164,264,125.3,52.1,12,126.89,1115,374,135,50,5022.06,30,3.58,0.309,A
2023-02-11,51,2,180.6,50.4,7,125.28,762,252,80,17,1496.7,4,3.68,0.347,C
2023-02-12,50,151,120.1,59.0,4,113.58,797,275,94,10,1325.39,-16,3.51,0.201,C
2023-02-13,110,143,145.1,47.0,8,122.93,1085,358,118,37,4258.49,11,4.15,0.341,A
2023-02-14,105,269,148.4,48.6,-4,122.15,1094,358,130,29,3688.34,12,3.89,0.285,B
2023-02-15,81,128,175.9,41.7,5,123.54,1059,369,113,52,5353.87,-2,3.27,0.651,C
2023-02-16,108,224,165.4,47.5,16,130.42,1107,369,137,47,4277.9,12,3.62,0.438,C
2023-02-17,149,236,161.4,41.1,6,124.3,1100,370,135,36,3150.1,11,3.96,0.242,B
2023-02-18,51,81,139.9,53.1,6,129.2,732,240,103,25,2589.65,-8,3.53,0.494,C
2023-02-19,38,33,180.4,49.9,8,123.42,771,280,99,11,1879.81,10,3.6,0.298,A
2023-02-20,143,234,250.6,43.6,10,125.97,1105,382,129,32,3140.27,8,3.62,0.227,A
2023-02-21,129,223,167.3,47.8,-3,129.72,1164,404,146,58,5494.51,8,3.74,0.451,C
2023-02-22,94,111,152.5,52.7,-2,109.16,1140,411,125,62,5628.08,4,3.36,0.661,C
2023-02-23,67,101,117.6,44.6,7,120.84,1116,388,126,47,4081.89,19,3.3,0.704,D
2023-02-24,91,115,134.1,50.7,2,119.64,1126,388,137,42,3766.15,8,3.22,0.468,A
2023-02-25,82,246,144.7,52.7,12,118.26,786,284,77,23,2204.45,8,3.79,0.29,B
2023-02-26,114,179,136.6,40.6,4,122.18,781,286,93,22,2843.42,7,3.79,0.192,C
2023-02-27,77,200,149.6,52.4,-2,140.17,1094,380,123,61,5421.37,12,3.27,0.797,A
2023-02-28,109,165,194.5,38.9,0,116.84,1124,395,135,42,3821.55,24,3.75,0.384,B
2023-03-01,129,220,181.2,47.2,-3,198.33,1109,372,124,62,5230.1,19,3.84,0.485,C
2023-03-02,41,0,146.0,43.3,7,172.21,1096,366,134,54,5257.2,10,3.15,1.321,A
2023-03-03,149,216,119.8,57.4,8,186.07,1151,418,138,28,3243.16,21,4.01,0.19,B
2023-03-04,48,87,183.4,41.9,7,191.41,808,291,108,27,3294.28,-8,3.47,0.57,A
2023-03-05,90,224,148.8,40.8,15,196.0,744,269,89,24,2318.23,0,3.61,0.272,D
2023-03-06,127,215,106.8,51.4,15,197.6,1139,404,130,42,4128.03,10,3.42,0.334,A
2023-03-07,153,315,167.8,46.2,9,198.75,1174,412,138,47,4188.89,8,3.58,0.308,A
