data,visite_sito,visualizzazioni_pagina,durata_media_sessione,frequenza_rimbalzo,click_annunci,spesa_ads,email_inviate,aperture_email,click_email,ordini,valore_totale_ordini,utenti_nuovi,churn_rate,tasso_conversione,segmento_dominante
2023-01-01,2890,5156,169.3259238538854,49.60313176894876,208,106.02103310313359,1071,295,85,33,3504.0,34,0.765293084887382,1.2360946469227814,B
2023-01-02,2712,5057,110.98809114338576,41.04673741590759,175,109.0987385801973,977,312,87,36,5089.0,34,2.3855018573576197,0.729491594596489,B
2023-01-03,2899,5088,132.84549653782818,37.550175996103725,174,141.65566337462928,986,287,81,49,3229.0,22,2.6413374499687943,1.4576289489175998,D
2023-01-04,2749,5072,114.9433979901346,36.173045100582044,205,72.2332346949153,954,273,101,37,2753.0,42,2.5904496736815448,1.9158182853946093,C
2023-01-05,3031,5047,172.05072810002486,38.513760297247366,170,74.64494899031452,942,296,87,36,3383.0,27,0.8659666385476024,1.6786766993884716,C
2023-01-06,2981,5347,141.55788639590756,37.81284137102503,196,89.96343989304793,921,317,83,29,4630.0,32,1.1387488559107868,1.0847619168979905,D
2023-01-07,3250,4773,145.51140534317872,39.53734940335635,244,90.22782274878487,849,306,96,29,4573.0,33,1.7795585237368028,1.0714291234308564,A
2023-01-08,3403,5143,152.4489818313901,45.21005086677657,202,69.95599167345301,993,296,77,48,3745.0,29,2.0789459840234112,1.2707833019969683,D
2023-01-09,3007,5264,168.84101064094614,38.634110770178474,236,130.28462251132052,1095,320,82,44,4940.0,32,1.73019630167007,1.9191026876249673,C
2023-01-10,3075,5299,135.19414969894473,37.38962339739318,206,62.0977226117847,1010,308,101,35,4229.0,36,2.0408768746287698,1.1343952725334714,C
2023-01-11,3066,5745,124.8412284158625,42.033536084454,198,88.38345477883252,1019,301,91,45,4804.0,29,1.7134747128240293,0.9136807880599414,B
2023-01-12,3255,5687,159.75044364165265,45.580618004993255,188,96.66834684843931,1034,322,80,45,4540.0,35,1.92700174023321,2.039481562182103,A
2023-01-13,3100,5508,150.9667061034177,44.331227061245066,172,128.77542875541022,1058,324,93,42,4965.0,34,3.0594212166378103,1.9788624083267163,A
2023-01-14,3144,5607,145.31416203051765,43.59315009276166,176,104.45893205587116,1119,313,79,40,3995.0,39,1.4494553643233496,2.1475086236390677,C
2023-01-15,3270,5297,118.43216337876495,43.38366074703617,199,117.91121893293194,915,358,76,62,5387.0,34,1.22167402296928,1.2543566318022608,C
2023-01-16,2839,5768,125.65968058949515,46.24802704786402,195,102.33660559140733,982,301,93,50,4646.0,32,2.4468749915374666,1.7933462216932416,D
2023-01-17,3062,5443,126.40516689065306,44.38370337667768,151,100.37530768876039,949,277,92,42,4088.0,34,2.400431475381219,1.2660985988125169,A
2023-01-18,3524,5152,176.88916032203716,49.905205402954195,195,132.21477377094516,1011,321,115,52,4921.0,27,1.8659353007619504,1.4451738172280195,B
2023-01-19,3169,5328,145.68961989384562,48.68278930443424,208,133.7961533091571,988,296,88,49,5058.0,37,3.1140423816180967,1.630027871316945,B
2023-01-20,3633,5630,138.23636292101318,46.74985336011224,191,126.83559709997957,1010,341,87,34,3841.0,27,1.433067993467243,2.6468137382552253,C
2023-01-21,3146,5488,132.8965052173146,40.34433251566831,226,117.33923884365846,1096,384,101,50,5453.0,39,2.847026668248173,1.6552316775238527,B
2023-01-22,3303,5934,148.9238685766531,50.142448971342844,186,107.99585507739191,946,283,95,44,4573.0,33,1.8179592897911467,1.4266071008558543,A
2023-01-23,3448,5453,144.14870872181572,49.15232712430628,185,137.66978563337358,1127,367,98,44,4649.0,35,1.4055245113274957,1.2584245901564206,B
2023-01-24,3170,5629,210.30736310708417,43.27707853344641,182,121.98116985412935,1134,323,85,51,4247.0,27,2.0894953574164745,1.8600811269007445,B
2023-01-25,3244,5745,187.05710151876227,44.351065115730634,209,127.84446318989421,998,399,98,43,4129.0,33,2.277368695541494,0.7272993322907764,D
2023-01-26,3391,5554,136.0705800616315,50.96607363575492,222,80.97146510725202,993,328,103,33,3939.0,34,1.5617224689942018,1.990614169178684,B
2023-01-27,3523,5726,157.50168483005842,34.120914389844316,223,136.79570997336444,1046,348,79,30,3502.0,30,2.3070921187157727,1.9791729774155282,A
2023-01-28,3550,5640,150.27670284143693,27.95895142827348,194,131.74511419782576,1126,353,84,45,4046.0,25,3.195641541740933,2.120574225918022,C
2023-01-29,3298,5989,153.08553609900275,49.41089665162941,213,112.53358940059054,1055,343,102,45,4835.0,34,2.2883023649534575,1.3158180497516458,A
2023-01-30,3430,5656,163.68962280568442,40.42974366890544,180,109.32952643169337,1028,405,86,48,3939.0,38,1.7918481611633001,1.016458097082317,C
2023-01-31,3510,5226,173.77677722060997,60.90073902613871,186,90.28281168284532,1093,365,90,42,6009.0,28,0.9332682788528026,2.4016651677498824,A
2023-02-01,3455,5974,141.79689586697157,49.447008883805346,225,137.40464291335536,1131,359,95,45,3818.0,35,1.5113086098286195,1.9189254662797572,C
2023-02-02,3447,5540,136.7693695221222,46.877279559027194,222,90.19418602245213,1128,361,111,43,4674.0,34,1.5790621376958187,1.3887725319662245,A
2023-02-03,3601,6018,154.51786761177894,48.713462172983384,217,135.99628986209416,1015,351,91,53,4283.0,28,1.2924861954354612,1.6442173725323879,B
2023-02-04,3329,6049,175.69225919334525,49.24385804924743,203,136.99118610804862,1168,289,101,34,5242.0,38,1.7468491847305405,0.8850786256454696,B
2023-02-05,4002,6005,193.29260682092234,43.892604266202696,215,146.1505220162364,1132,340,95,47,4493.0,21,2.535708429252154,1.3643572954460292,B
2023-02-06,3486,5708,152.95725986562712,37.861161167643246,196,92.9564379392345,1073,350,83,50,3903.0,31,1.5543113564153601,1.1841980294025356,D
2023-02-07,3386,6264,151.120872215168,45.6035565693403,213,131.2538704258887,1132,344,100,52,5257.0,45,2.46614216584879,0.7993206012731573,D
2023-02-08,3459,5741,112.92950493162323,36.6527369778703,222,97.96935918898306,1125,357,82,37,5103.0,37,1.8725092858494528,1.5591221371633333,B
2023-02-09,3516,6075,130.50507286153515,42.20458085495182,212,90.42771285720265,1179,340,103,52,5767.0,25,1.3185667588872307,1.057419262493487,D
2023-02-10,3332,5730,211.66217975166992,54.39716366692478,232,141.91946860594192,1166,366,92,52,5686.0,36,1.8552032921416215,1.6038648774552493,B
2023-02-11,3447,6348,190.26643013762384,47.82310412414493,242,119.38997547687734,1150,357,98,35,5594.0,35,3.0805649381629543,0.6658948445353918,D
2023-02-12,3728,5917,129.1120330276062,45.415010137518706,243,137.79595668327232,1138,399,123,48,4174.0,42,1.5679774335228822,1.848862775044199,B
2023-02-13,3954,6419,101.40480806721763,49.753077623595104,230,96.6729218451004,1174,423,87,43,6352.0,30,3.351132758165561,1.5777755631714605,A
2023-02-14,3585,6218,170.93785270414534,45.2750756749197,231,119.47636567049969,1121,393,98,46,5085.0,34,1.6238952390521586,1.9054222426962393,C
2023-02-15,3734,6174,150.69418571411282,55.55687658410123,226,140.83788594765568,1195,393,98,55,4663.0,27,2.3046490076049877,0.7968202857991791,A
2023-02-16,3537,6323,142.83936905763753,46.31998522888993,214,139.4105818685846,1097,320,105,47,6363.0,31,1.8231729634117857,1.1374026422304768,B
2023-02-17,4052,6044,173.69760260330966,48.60595904730271,201,131.11926924311678,1262,349,107,43,5315.0,35,2.3969970897146133,0.8842251766706886,A
2023-02-18,3513,6270,140.55175294856647,50.425372402799816,231,83.74501208282487,1138,363,81,37,5539.0,35,2.4547297881250367,1.3806529624616406,B
2023-02-19,3701,6372,138.90350369635178,47.985503918579745,227,60.199303617130944,1175,289,88,52,5496.0,35,3.0325377803250437,1.3149098449704963,C
2023-02-20,3393,6030,153.8197026725732,43.68362804893725,241,160.23738445355568,1225,328,96,47,4586.0,38,1.691144004247914,1.447449831570124,A
2023-02-21,3283,6068,135.04205668420667,46.52041394401046,224,104.09969008107323,1201,318,97,62,5145.0,32,1.0888088232592437,1.4028988632198387,C
2023-02-22,3659,6053,114.02503943659453,33.90257704241245,239,110.9006567594161,1198,363,108,41,5122.0,41,2.5175155619193577,1.5749321425390228,D
2023-02-23,3721,6317,134.50503721269513,48.21207219875468,211,122.27212924995189,1229,407,95,54,5732.0,34,1.8105236858205906,1.1422474533625977,D
2023-02-24,3660,6783,159.30261467752968,42.48395303239329,244,146.97030030142952,1221,357,121,50,5529.0,40,2.207977765175811,2.175394633640841,A
2023-02-25,3824,5827,160.69280480118476,41.19535518610326,235,98.73040207081394,1182,369,94,47,4824.0,38,0.7926723430552081,1.463993290319884,D
2023-02-26,3745,6219,115.69889106481506,46.038351198233904,218,119.8181294192704,1083,381,88,56,5892.0,48,2.8846127498578538,0.7669413636375357,A
2023-02-27,4167,6460,156.00366308759052,46.44341141749843,196,159.08077732165594,1184,391,101,57,5403.0,35,2.708044689055618,0.7987857678590821,D
2023-02-28,3456,5808,115.20143496033688,38.68331577837009,216,145.47419265840438,1245,349,97,63,4520.0,36,2.7691334052222407,1.4457708699810121,C
2023-03-01,5257,9040,139.57737164944706,48.59140313678159,335,193.51483370708038,1788,549,164,63,8047.0,61,2.370145717622861,0.9647553566771556,C
2023-03-02,5738,9282,175.41725815538857,40.925318028831796,331,162.68485353570028,1789,548,136,69,7188.0,52,1.9143579921281273,0.7095596265342231,C
2023-03-03,5746,9084,202.70356320520045,33.09661594470509,340,168.63356217842284,1815,533,139,72,6664.0,56,1.3954700880533455,2.0246119870721975,D
2023-03-04,5901,9529,129.8921563428043,46.310800345523944,304,180.33530926819907,1853,549,151,65,7573.0,58,1.0698163884661005,0.8600007877767619,B
2023-03-05,5662,9378,135.21712973344424,34.762840549302915,303,189.8446854865397,1815,568,152,70,7651.0,53,1.9419185510379626,1.1469140368300588,B
2023-03-06,5625,10116,159.40056073946636,40.182966927757136,338,196.93576093870888,1775,601,153,70,7983.0,57,1.717040663441973,1.3731558139594013,D
2023-03-07,5345,9454,158.7046307601039,53.28979879815633,353,177.38490755230694,1839,565,163,84,7698.0,48,1.2178483252284658,1.209288701001688,C
2023-03-08,5969,9489,170.91328454501738,39.60193661567067,334,192.53307470275058,1782,607,134,74,8216.0,57,1.829550701266501,1.1830051099988415,A
2023-03-09,5644,9843,125.11087518769519,44.10465529567093,351,162.0083627606615,1880,583,161,91,7977.0,70,2.0796465084304105,1.3491582653403629,A
2023-03-10,5318,9790,122.31446697877968,45.91764275249047,298,174.6143896972287,1779,525,156,74,6500.0,55,2.8883640577936838,1.262843138572174,D
2023-03-11,5757,9326,148.5999971003055,36.80317711549528,334,190.23237059564747,1870,523,138,84,7829.0,54,1.3816503780139493,1.3682539137969656,A
2023-03-12,5996,9512,147.9582488440347,46.204202084585255,344,179.22626037516318,1780,659,167,64,6945.0,58,2.152273778109097,2.21978221391743,B
2023-03-13,5865,9647,145.4882183581882,47.09562390785102,342,210.5837719046032,1861,611,158,84,9110.0,52,2.013022389583564,1.6198301581952617,D
2023-03-14,5532,9319,142.88064028193628,52.926187334244766,325,194.3856198196682,1875,602,137,75,7507.0,53,1.655049052517282,2.060472813470019,A
2023-03-15,5934,9221,145.453511379908,36.85785407768637,347,165.36680171496738,1843,596,151,75,7694.0,58,2.3007054555633992,1.6096817877097964,B
2023-03-16,3688,6352,152.25684323678848,55.17065358308358,253,144.45342447836606,1233,420,99,45,5613.0,38,2.6147872707008712,1.0302846696807746,D
2023-03-17,3869,6482,140.97192497009252,52.70881458013026,229,96.71353411763658,1263,423,97,51,5609.0,30,2.0529207976160575,1.2973191110736346,D
2023-03-18,4237,6312,124.40176892595078,35.80027244895613,213,123.23637348385017,1188,368,88,42,5063.0,48,2.0400813897745724,1.5932016840719838,C
2023-03-19,3736,6587,197.11628857962504,37.39805753893749,256,102.88462393156318,1227,410,106,58,5788.0,42,1.3425739153486358,1.228397085167821,A
2023-03-20,3649,7002,191.38325451267912,35.820769793503686,261,150.50647041666923,1151,447,94,46,5566.0,44,1.607813008622114,2.024841355898598,D
2023-03-21,4112,6601,143.72240334646688,55.91440092689601,225,115.44297322777723,1295,405,122,55,6019.0,34,0.5516018357915686,1.2567274813119897,A
2023-03-22,3883,6727,193.64360364768118,46.82515882082932,225,118.9761038986776,1153,453,97,48,5315.0,33,0.7923877341194085,1.7875576602345247,B
2023-03-23,3815,6416,116.73484255826804,40.10421371700949,258,109.12144749756402,1286,360,102,49,5939.0,43,3.3326938437425206,1.8908936840781772,B
2023-03-24,3954,6606,147.1685582518164,45.49015974131898,204,141.1962370456209,1271,408,108,55,5299.0,32,0.9216274046576829,1.2482155939453352,B
2023-03-25,4038,6307,113.86534457032319,51.29105941208073,248,110.99510577059033,1246,384,98,54,5853.0,36,3.545581199204274,1.8739515523612587,B
2023-03-26,4092,6289,127.7956774958859,29.909734707719807,235,144.1382855003878,1239,366,109,49,4494.0,31,1.724069617363023,0.8749246720270408,D
2023-03-27,4158,6532,130.7133922232755,43.07802778771872,252,128.97405857354272,1253,392,99,47,4281.0,29,1.274594574907622,0.7993538873811703,C
2023-03-28,3776,6404,121.18670148765133,42.78455661442675,238,99.21935615131639,1165,326,118,55,5874.0,38,1.5594055637140876,1.333351465003512,C
2023-03-29,4173,6445,197.73615339658798,39.55535428377889,228,137.85841810420405,1273,404,112,51,4150.0,34,1.693453469109168,1.2554451625379686,C
2023-03-30,3928,6290,206.03336344746714,40.05165723822003,225,161.2483481523707,1174,396,89,59,4359.0,32,1.7274481678604927,1.701951146565825,A
2023-03-31,4084,6434,153.22311571058873,50.34976848676219,255,129.24087770693296,1274,458,91,61,4804.0,37,2.413539016312662,1.3967656699840296,A
2023-04-01,3468,6561,151.68319289565804,57.88788575612118,239,125.19077803716058,1277,412,102,55,4589.0,45,2.746601491026685,1.2673878501124705,C
2023-04-02,3721,6584,138.38807541358898,50.43439502406545,217,207.3565034849146,1189,363,101,57,4065.0,38,1.9697763109421043,1.1942132097056801,A
2023-04-03,3662,6387,203.6109986991063,41.25673499940872,229,127.74676895004445,1339,357,112,52,5051.0,36,1.3409862746858279,0.6815513238659037,D
2023-04-04,4233,6544,160.13108055539544,43.34238044903524,238,107.69165582301449,1220,473,95,44,6635.0,46,2.081808859415626,1.225906472548179,B
2023-04-05,3806,6475,177.39665481787563,48.898793737075664,224,164.86588430445303,1209,384,97,54,5259.0,32,0.7622112050112586,1.372796932803643,D
