isin,ann_cost,rating_class,risk_class,3y_ann_perf,5y_ann_perf,AUM,sharpe_ratio
YY0016060346,1.56,3.0,4.0,-16.62,32.16,6700.0,0.5
YY0060622967,1.54,4.0,4.0,1.57,77.61,4880.0,0.58
YY0060012037,1.22,3.0,3.0,6.67,-9.87,1670.0,-0.19
YY0016112832,1.19,4.0,3.0,-5.76,-9.96,3473.0,-0.15
YY0060019552,1.22,4.0,3.0,-6.35,-1.27,909.0,-0.16
YY0060516854,1.71,2.0,4.0,-10.7,1.25,1808.0,0.01
YY0060293538,1.66,4.0,4.0,-13.52,1.73,7370.0,0.51
YY0060130318,0.27,3.0,2.0,2.63,1.81,532.0,-0.45
YY0016109614,0.22,4.0,2.0,1.91,0.07,2792.0,-0.55
YY0016109531,0.46,3.0,2.0,-6.03,-12.33,9914.0,-0.57
YY0060335552,0.92,3.0,2.0,0.93,6.09,302.0,-0.03
YY0060762540,0.88,3.0,2.0,-2.84,-0.2,994.0,-0.02
YY0060745966,1.16,5.0,3.0,3.49,15.77,916.0,0.21
YY0060762623,1.14,5.0,3.0,-1.23,7.51,3377.0,0.22
YY0060335636,1.39,4.0,3.0,7.14,27.28,1860.0,0.34
YY0060762706,1.37,4.0,3.0,0.26,14.89,3306.0,0.35
YY0060089092,1.53,3.0,4.0,11.0,38.79,1103.0,0.41
YY0060762896,1.52,4.0,4.0,0.46,19.44,1296.0,0.43
YY0060978716,1.6,1.0,4.0,-10.51,-7.37,329.0,0.11
YY0060461424,1.27,4.0,3.0,3.07,11.57,3932.0,0.16
YY0060019636,1.02,3.0,2.0,-3.84,-2.61,872.0,-0.28
YY0010296813,0.93,3.0,2.0,-7.23,-8.24,6468.0,-0.28
YY0016208515,1.28,3.0,4.0,2.11,64.36,1848.0,0.09
YY0060244325,1.38,3.0,4.0,-26.62,2.91,3804.0,0.13
YY0010266238,0.28,3.0,4.0,-24.41,5.12,2770.0,-0.02
YY0010252873,1.28,3.0,4.0,-33.7,-11.34,1162.0,0.09
YY0010078070,0.43,3.0,2.0,-7.01,-12.73,5155.0,-0.58
YY0016290422,0.24,3.0,2.0,-2.09,-5.04,2150.0,-0.47
YY0016105380,0.48,1.0,2.0,-10.84,-18.11,1559.0,-0.64
YY0060448751,0.71,3.0,2.0,-6.87,-8.98,5120.0,-0.59
YY0060058618,1.53,4.0,4.0,21.25,39.64,612.0,0.53
YY0016253651,1.53,4.0,4.0,-3.7,2.34,883.0,0.53
YY0015737563,0.35,3.0,4.0,17.52,43.56,335.0,0.46
YY0010266311,0.35,4.0,4.0,0.79,19.85,1956.0,0.42
YY0060640191,1.49,3.0,4.0,-22.95,30.21,148.0,-0.47
YY0060046019,1.49,4.0,4.0,-43.93,-20.49,829.0,-0.47
YY0010252956,1.42,4.0,4.0,-5.44,8.11,610.0,0.24
YY0010207141,0.5,4.0,4.0,-4.54,12.97,669.0,-0.05
YY0060448918,1.1,3.0,3.0,-1.14,-0.6,738.0,-0.32
YY0060187771,0.69,3.0,3.0,-18.02,-17.9,796.0,-0.87
YY0010263052,0.4,4.0,4.0,11.61,45.73,22275.0,0.56
